ID_Focal_Class,Cyclomatic_Complexity_Focal_Class,Lines_Of_Code_Focal_Class,Generator(LLM/EVOSUITE),Prompt_Technique,Branch_Coverage,Line_Coverage,Method_Coverage,Compilation,Mutation_Coverage,Post_Repair_Mutation_Coverage,Mutation_Applied,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,Chance,Total_Prompt_Tokens,Total_Completion_Tokens,Iterations_to_Pass,High_Signal,Signal_Reason
42949039_StorageHelper::getStorageAttributeIntegerValueByName,30,77,human,-,23.33,22.08,26.67,1,40.0,40.0,"exception:getStorageAttributeIntegerValueByName:AssertionError(""AGONE_MUTATION_TRIGGER"")",1,0,0,0,12,0,0,0,0,0,0,0,2,34,0,0,0,0,23,0,-,-,0,0,0,0,-,-
42949039_StorageHelper::getStorageAttributeIntegerValueByName,31,78,codex-cli,iterative-healing,25.0,23.08,33.33,1,50.0,50.0,"exception:getStorageAttributeIntegerValueByName:AssertionError(""AGONE_MUTATION_TRIGGER"")",2,0,0,0,12,0,0,0,0,0,0,0,2,34,0,0,0,0,23,0,-,-,1,0,0,1,1,active_mutation
42949039_StorageHelper::getStorageAttributeIntegerValueByName,31,78,codex-cli,regenerative-sync,25.0,23.08,33.33,1,16.67,16.67,"exception:getStorageAttributeIntegerValueByName:AssertionError(""AGONE_MUTATION_TRIGGER"")",3,0,0,0,12,0,0,0,0,0,0,0,3,36,0,0,0,0,24,0,-,-,0,0,0,0,1,active_mutation
42949039_SecurityFunctionDaoHelper::getSecurityFunctionEntity,3,5,human,-,50.0,80.0,100.0,1,50.0,50,"exception:getSecurityFunctionEntity:AssertionError(""AGONE_MUTATION_TRIGGER"")",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,-,-,0,0,0,0,-,-
42949039_SecurityFunctionDaoHelper::getSecurityFunctionEntity,-,-,codex-cli,iterative-healing,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,3,1,active_mutation
42949039_SecurityFunctionDaoHelper::getSecurityFunctionEntity,-,-,codex-cli,regenerative-sync,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,0,1,active_mutation
42949039_BusinessObjectDataRetryStoragePolicyTransitionHelper::retryStoragePolicyTransition,14,53,human,-,50.0,84.91,100.0,1,33.33,33.33,logical:retryStoragePolicyTransition:||->&&,2,0,0,0,11,0,0,0,0,0,0,0,2,38,2,6,0,0,17,0,-,-,0,0,0,0,-,-
42949039_BusinessObjectDataRetryStoragePolicyTransitionHelper::retryStoragePolicyTransition,14,53,codex-cli,iterative-healing,18.75,30.19,66.67,1,13.33,13.33,logical:retryStoragePolicyTransition:||->&&,2,0,0,0,12,0,0,0,0,0,0,0,2,38,2,5,0,0,17,0,-,-,1,0,0,1,1,active_mutation
42949039_BusinessObjectDataRetryStoragePolicyTransitionHelper::retryStoragePolicyTransition,14,53,codex-cli,regenerative-sync,56.25,84.91,100.0,1,66.67,66.67,logical:retryStoragePolicyTransition:||->&&,2,0,0,0,12,0,0,0,0,0,0,0,2,38,2,5,0,0,17,0,-,-,0,0,0,0,1,active_mutation
