"Timestamp","Worker","Index","Total","Sample_Key","Sample_File","Status","Exit_Code"
"2026-03-16T15:24:56","w50a","1","25","42949039_5","42949039_5.json","OK","0"
"2026-03-16T15:41:04","w50a","2","25","42949039_43","42949039_43.json","OK","0"
"2026-03-16T15:54:41","w50a","3","25","42949039_44","42949039_44.json","OK","0"
"2026-03-16T16:11:31","w50a","4","25","42949039_45","42949039_45.json","OK","0"
"2026-03-16T16:24:44","w50a","5","25","42949039_46","42949039_46.json","OK","0"
"2026-03-16T16:38:58","w50a","6","25","42949039_47","42949039_47.json","OK","0"
"2026-03-16T16:40:55","w50a","7","25","42949039_48","42949039_48.json","OK","0"
"2026-03-16T16:42:53","w50a","8","25","42949039_49","42949039_49.json","OK","0"
"2026-03-16T16:44:52","w50a","9","25","42949039_50","42949039_50.json","OK","0"
"2026-03-16T16:46:04","w50a","10","25","42949039_51","42949039_51.json","OK","0"
"2026-03-16T16:52:08","w50a","11","25","42949039_429","42949039_429.json","OK","0"
"2026-03-16T17:03:15","w50a","12","25","42949039_430","42949039_430.json","OK","0"
