ID_Focal_Class,Cyclomatic_Complexity_Focal_Class,Lines_Of_Code_Focal_Class,Generator(LLM/EVOSUITE),Prompt_Technique,Branch_Coverage,Line_Coverage,Method_Coverage,Compilation,Mutation_Coverage,Post_Repair_Mutation_Coverage,Mutation_Applied,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,Chance,Total_Prompt_Tokens,Total_Completion_Tokens,Iterations_to_Pass,High_Signal,Signal_Reason
42949039_StorageHelper::getStorageAttributeIntegerValueByName,30,77,human,-,10.0,10.39,26.67,1,0.0,0.0,"exception:getStorageAttributeIntegerValueByName:AssertionError(""AGONE_MUTATION_TRIGGER"")",1,0,0,0,12,0,0,0,0,0,0,0,2,34,0,0,0,0,23,0,-,-,0,0,0,0,-,-
42949039_StorageHelper::getStorageAttributeIntegerValueByName,31,78,codex-cli,iterative-healing,15.62,11.54,26.67,1,16.67,16.67,"exception:getStorageAttributeIntegerValueByName:AssertionError(""AGONE_MUTATION_TRIGGER"")",2,0,0,0,12,0,0,0,0,0,0,0,2,34,0,0,0,0,23,0,-,-,1,0,0,1,1,active_mutation
42949039_StorageHelper::getStorageAttributeIntegerValueByName,31,78,codex-cli,regenerative-sync,37.5,24.36,26.67,1,50.0,50.0,"exception:getStorageAttributeIntegerValueByName:AssertionError(""AGONE_MUTATION_TRIGGER"")",2,0,0,0,12,0,0,0,0,0,0,0,3,35,0,0,0,0,23,0,-,-,0,0,0,0,1,active_mutation
