GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
herd swaggergen maven plugin,org.finra.herd.swaggergen,SwaggerGenMojo.new HashMap() {...},0,24,0,0,0,5,0,1,0,1
herd swaggergen maven plugin,org.finra.herd.swaggergen,SwaggerGenMojo,162,222,18,10,24,43,13,7,1,5
