GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
herd swaggergen maven plugin,org.finra.herd.swaggergen,SwaggerGenMojo.new HashMap() {...},0,24,0,0,0,5,0,1,0,1
herd swaggergen maven plugin,org.finra.herd.swaggergen,SwaggerGenMojo,162,214,18,8,24,42,13,6,1,5
